feature,importance
lead_time,0.31916108095057477
avg_price_per_room,0.16506988273131548
no_of_special_requests,0.09549162546065779
arrival_date,0.09251783203999221
arrival_month,0.0713681241771446
market_segment_type,0.05436835566857324
no_of_week_nights,0.052917992843060556
no_of_weekend_nights,0.036835779063816805
arrival_year,0.028992705947552856
no_of_adults,0.02492815995196182
type_of_meal_plan,0.021962427784955652
room_type_reserved,0.01660124164394237
no_of_children,0.007574217620730315
required_car_parking_space,0.006967877891378237
repeated_guest,0.0032328185486263524
no_of_previous_bookings_not_canceled,0.0017125222047968053
no_of_previous_cancellations,0.00029735547092015824
